"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         127,       14.90075157,       16.05428976,       15.72526211,       18.11317865
          0,           0,         128,       14.94418925,       16.18818509,       15.76875673,       18.27147534
          0,           0,         129,       15.12021982,       16.42403281,       15.92157031,       18.59631655
          0,           0,         130,       15.11315648,       16.39909581,       15.89900913,       18.98624434
          0,           0,         131,       15.55091494,       16.56897868,       16.50926307,       19.56861748
          0,           0,         132,       15.32976033,        16.7660685,       16.67403071,       19.27310608
          0,           0,         133,       15.57267802,       17.12130388,       16.69127325,       19.43334539
          0,           0,         134,       15.74740313,       17.23934112,       16.77771787,       19.50435899
          0,           0,         135,       16.33926222,       18.10866564,       16.77414209,         19.880361
          0,           0,         136,       16.36489784,       18.10088693,       16.82839652,       19.94300399
          0,           0,         137,       16.12345247,        17.5661822,       16.98644356,       19.68560263
          0,           0,         138,       16.19715571,       17.64420843,       17.03746994,       19.80525948
          0,           0,         139,        16.3314692,       17.76189085,       17.13818452,       19.72890667
          0,           0,         140,       16.68386733,       17.51180633,       17.18376356,       19.78140396
          0,           0,         141,       16.72681187,       17.72748529,        17.3537329,       19.88090358
