"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
756, 4.156040675966300e-01, 5.246311318496000e-02, 1.191852217585813e+00, 1.323425903567137e+02, -9.150193305501208e+00, 2.456926419285427e+05
810, 3.591286404597100e-01, 5.589129878214000e-02, 1.181633797050782e+00, 1.413611786744898e+02, -7.144197127340221e+00, 2.439371775830627e+05
864, 3.049807020546800e-01, 5.805386403843000e-02, 1.170652385507541e+00, 1.495820556107176e+02, -4.135340922144293e+00, 2.420114881426439e+05
918, 2.537822164668600e-01, 5.880370278917000e-02, 1.158618889313091e+00, 1.573529251849264e+02, 6.566821887599961e-03, 2.399000929830597e+05
972, 2.060974483321200e-01, 5.804973733588000e-02, 1.145283262304114e+00, 1.647808265861466e+02, 5.492778356905955e+00, 2.375580929224239e+05
1026, 1.624334460133700e-01, 5.575869713121000e-02, 1.130305227292316e+00, 1.715738245055094e+02, 1.262154285892157e+01, 2.349354191920894e+05
1080, 1.232405766119700e-01, 5.195450946190000e-02, 1.113322346715741e+00, 1.774176542298508e+02, 2.182240749769760e+01, 2.319388745610820e+05
1134, 8.891294766556000e-02, 4.671566090494000e-02, 1.093784935273576e+00, 1.820187078093907e+02, 3.380262349302387e+01, 2.284510375376352e+05
1188, 5.978864576142000e-02, 4.017087604168000e-02, 1.070998331059912e+00, 1.847548177036601e+02, 4.980037981527911e+01, 2.243358885323304e+05
1242, 3.614978904993000e-02, 3.249343183415000e-02, 1.048015007112809e+00, 1.834524588206606e+02, 7.183625441471804e+01, 2.203782278009880e+05
1296, 1.822243217800000e-02, 2.389439158772000e-02, 1.025312310755829e+00, 1.694983447128110e+02, 1.011017324511863e+02, 2.160835560184683e+05
1350, 6.176383020990000e-03, 1.461500781696000e-02, 1.047298473804438e+00, 1.322407367389349e+02, 1.386596498219999e+02, 2.216526257119776e+05
1404, 1.249954454800000e-04, 4.918512430590000e-03, 1.238437980632968e+00, 5.672727233575932e+01, 1.831122711825713e+02, 2.674108485153896e+05
1458, 1.249954454800000e-04, -4.918512430590000e-03, 1.315886559142316e+00, -2.840042064718118e+01, 9.167487370934239e+01, 2.777800447381454e+05
1512, 6.176383020990000e-03, -1.461500781696000e-02, 1.364599665594989e+00, -8.471664581498309e-01, 8.882875831776129e-01, 2.852242991503029e+05
1566, 1.822243217800000e-02, -2.389439158772000e-02, 1.338681640311419e+00, 5.819143273491776e+01, -3.470980600601055e+01, 2.769007300166211e+05
1620, 3.614978904993000e-02, -3.249343183415000e-02, 1.317796267311798e+00, 9.491598733903726e+01, -3.716717158409553e+01, 2.716530801027691e+05
1674, 5.978864576142000e-02, -4.017087604168000e-02, 1.305163985089072e+00, 1.184088081621509e+02, -3.191691395787931e+01, 2.687482512460963e+05
1728, 8.891294766556000e-02, -4.671566090494000e-02, 1.293585411762344e+00, 1.353664692035727e+02, -2.513885439103490e+01, 2.663192082730602e+05
1782, 1.232405766119700e-01, -5.195450946190000e-02, 1.285480334381470e+00, 1.463788501691773e+02, -1.800462829531430e+01, 2.646470522279284e+05
1836, 1.624334460133700e-01, -5.575869713121000e-02, 1.280128306012938e+00, 1.530285990790247e+02, -1.125729421423828e+01, 2.634807073060449e+05
1890, 2.060974483321200e-01, -5.804973733588000e-02, 1.277156220838382e+00, 1.572584953680070e+02, -5.242030142036506e+00, 2.628396332095919e+05
1944, 2.537822164668600e-01, -5.880370278917000e-02, 1.275687029378031e+00, 1.596782468173793e+02, -6.663864742651908e-03, 2.625147210103455e+05
1998, 3.049807020546800e-01, -5.805386403843000e-02, 1.275420247807107e+00, 1.607384381259951e+02, 4.443769931032601e+00, 2.624342950120929e+05
2052, 3.591286404597100e-01, -5.589129878214000e-02, 1.276130347486741e+00, 1.608582045061927e+02, 8.129549663609032e+00, 2.625180462040681e+05
2106, 4.156040675966300e-01, -5.246311318496000e-02, 1.277635011915947e+00, 1.599404203467712e+02, 1.105831281971589e+01, 2.627716419563568e+05
2160, 4.737271783693300e-01, -4.796793283040000e-02, 1.279637252049301e+00, 1.584655156882429e+02, 1.327532924079526e+01, 2.631089872751682e+05
2214, 5.327609659812300e-01, -4.264838225041000e-02, 1.281963045533243e+00, 1.566204459258160e+02, 1.482574942599565e+01, 2.635033497772468e+05
2268, 5.919132434880300e-01, -3.678039612830000e-02, 1.284469017298482e+00, 1.545285729203254e+02, 1.575643441300886e+01, 2.639316933627756e+05
2322, 6.503408010222600e-01, -3.065940879322000e-02, 1.287077817596959e+00, 1.523649864126542e+02, 1.612536155555177e+01, 2.643855780302783e+05
2376, 7.071565593584200e-01, -2.458376106779000e-02, 1.289613072524834e+00, 1.502789637801468e+02, 1.599286119409198e+01, 2.648273471370249e+05
2430, 7.614405971903000e-01, -1.883603994564000e-02, 1.292017293058797e+00, 1.482783472124835e+02, 1.540675569864589e+01, 2.652402458481087e+05
2484, 8.122558046470600e-01, -1.366349909624000e-02, 1.294304826472291e+00, 1.463847058228725e+02, 1.441880580494515e+01, 2.656355420159914e+05
2538, 8.586686044800800e-01, -9.259139489840000e-03, 1.296312410685922e+00, 1.446502427149376e+02, 1.308699618673793e+01, 2.659733105289751e+05
2592, 8.997746638887000e-01, -5.745372201560000e-03, 1.298004871102761e+00, 1.432182562768064e+02, 1.148003732168593e+01, 2.662636135985340e+05
2646, 9.347288162781500e-01, -3.162332470700000e-03, 1.299461067959452e+00, 1.424149746313298e+02, 9.680625771319100e+00, 2.665537709033982e+05
2700, 9.627776040043300e-01, -1.462761560850000e-03, 1.300660914845844e+00, 1.420844974075907e+02, 7.745886079153241e+00, 2.668482241465490e+05
2754, 9.832920808681500e-01, -5.148549344000000e-04, 1.301259530973993e+00, 1.402222175882634e+02, 5.729267271528401e+00, 2.666523735520471e+05
2808, 9.957979565910900e-01, -1.136000041200000e-04, 1.296323515705929e+00, 1.113127782862106e+02, 3.430105970166690e+00, 2.656056472671937e+05
