number_theta_steps,Appellian Root %,Appellian Value %
1.028729959391527782e-02,4.846771026396078791e-02,4.677070674065996608e-02
9.593970031675776861e-03,4.675076362980781081e-02,3.846708428597336860e-02
8.947368561438141452e-03,4.453538233393984636e-02,6.172309901096370566e-02
8.344345866194912212e-03,4.280378576810205116e-02,2.220716519331682876e-02
7.781964882364528387e-03,4.004008298973879554e-02,6.422010739888778241e-02
7.257486494620841305e-03,3.854291848153262173e-02,6.653221692053001846e-02
6.768356194843164718e-03,3.566134496504048956e-02,7.393691932325648086e-02
6.312191640208510320e-03,3.390806247183726641e-02,1.696200482412801511e-02
5.886771049826738933e-03,3.203290134349856544e-02,1.128056677207796895e-03
5.490022383403661901e-03,3.008268306768501973e-02,1.884065083084131287e-02
5.120013249226047433e-03,2.846883610728675670e-02,1.780052275426938224e-02
4.774941492314641739e-03,2.676990069649023279e-02,1.668698375103518095e-02
4.453126416904191684e-03,2.504801083935349545e-02,1.505944456457131327e-02
4.153000600498929669e-03,2.358155048775973511e-02,5.207156284480938917e-03
3.873102259633324183e-03,2.207224291333326899e-02,2.774630443917822792e-02
3.612068130155000022e-03,2.075702533857596080e-02,1.884875701038895776e-02
3.368626827352767025e-03,1.956147671771300139e-02,1.158480206012407927e-02
3.141592653589793307e-03,1.833229699628400114e-02,5.476879142048430779e-03
2.929859823281576962e-03,1.722086805193847811e-02,1.644285925388560762e-02
2.732397077091078003e-03,1.608497865557888262e-02,5.475927849957078902e-03
2.548242659109067280e-03,1.506369674683702593e-02,1.327448723232402435e-02
2.376499632555712036e-03,1.411245223361593144e-02,1.228533907911328292e-02
2.216331511188199179e-03,1.322877908342667830e-02,6.630164459613244188e-03
2.066958185136859218e-03,1.240042170432109972e-02,2.743105257441663496e-04
1.927652121326299236e-03,1.161284795274972366e-02,5.910945448188819305e-03
1.797734819975445450e-03,1.082937192152288140e-02,2.018410785541921090e-02
1.676573509917603146e-03,1.017379954268485091e-02,8.279102888241188923e-03
1.563578066644904152e-03,9.475764529884469003e-03,2.419606464280125296e-02
1.458198138066231584e-03,8.909621138046558073e-03,1.193423394378272454e-02
1.359920463979447233e-03,8.299061943397077409e-03,1.114201871311533941e-02
1.268266376202214010e-03,7.774416038658803728e-03,1.694979453121654126e-04
1.182789467185637678e-03,7.263229410674852150e-03,2.402186410303426816e-03
1.103073415755546080e-03,6.793625144564359800e-03,8.277406607453196167e-06
1.028729959391527738e-03,6.348767526406864231e-03,4.068887072929248776e-03
9.593970031675777077e-04,5.924630674442513296e-03,8.022806326349161618e-03
8.947368561438141885e-04,5.536700210976140506e-03,5.622335142642018863e-03
8.344345866194912646e-04,5.178634816512878679e-03,5.602081865327554477e-03
7.781964882364535326e-04,4.831918307253497968e-03,3.573034863436945312e-03
7.257486494620849328e-04,4.518345002691367095e-03,4.579599824655829904e-03
6.768356194843164718e-04,4.210416327647865248e-03,8.698931429915479976e-03
6.312191640208509669e-04,3.938040124077382340e-03,2.614800630933841112e-04
5.886771049826737198e-04,3.673685166447756504e-03,4.363514637529489898e-03
5.490022383403661468e-04,3.433412037092252716e-03,5.012198354922718646e-03
5.120013249226047650e-04,3.205980914571659492e-03,1.758312685428714377e-03
4.774941492314641197e-04,2.988743567479470401e-03,1.368940953851455634e-04
4.453126416904191250e-04,2.795047342744677414e-03,5.764986539958883100e-04
4.153000600498929669e-04,2.601504565903422356e-03,5.352241630807429498e-03
3.873102259633324400e-04,2.433676438368394170e-03,3.390667317134023456e-03
3.612068130154999588e-04,2.268620969488991963e-03,2.924974147124896791e-03
3.368626827352766808e-04,2.118665978041640342e-03,1.110157769532623458e-03
3.141592653589793090e-04,1.977503018506123963e-03,2.283510755442378129e-04
