number_theta_steps,Appellian Root %,Appellian Value %
1.268266376202214010e-02,4.219909090871827573e+01,7.821130702921823274e-02
1.182789467185637461e-02,6.456065419599569566e+01,4.289965406654041441e-02
1.103073415755546037e-02,8.106573902860777707e+02,1.099762409247510009e-01
1.028729959391527782e-02,1.098389761796964308e+02,3.148561658377586198e-02
9.593970031675776861e-03,1.288908072654299701e+02,2.370487466583922134e-02
8.947368561438141452e-03,2.110593626690860560e+02,4.769490810209327941e-02
8.344345866194912212e-03,5.788313333201109572e+02,3.566162570929141268e-02
7.781964882364528387e-03,7.477066358525659950e+01,5.166839854427024425e-02
7.257486494620841305e-03,1.721694667419646052e+01,7.861091643861375933e-02
6.768356194843164718e-03,1.630756330362610811e+02,6.281969246282204100e-02
6.312191640208510320e-03,5.224350322447542112e+02,6.447298078827035789e-03
5.886771049826738933e-03,1.110036858001709703e+02,8.835225776278871415e-03
5.490022383403661901e-03,5.273680022787857524e+02,9.539666425610725947e-03
5.120013249226047433e-03,1.699037165841611454e+02,2.659303007657634263e-02
4.774941492314641739e-03,1.804247649650980918e+02,2.493754255849237739e-02
4.453126416904191684e-03,2.788664663419889322e+01,7.348889578743427256e-03
4.153000600498929669e-03,5.603319172888777899e+01,2.046781860437582416e-03
3.873102259633324183e-03,1.580631655366880928e+01,2.098385651753652617e-02
3.612068130155000022e-03,1.219390295591757223e+02,1.249576536572129942e-02
3.368626827352767025e-03,4.120798801899245944e+01,1.755031812380586018e-02
3.141592653589793307e-03,1.026812012728505863e+01,1.108889212193660094e-02
2.929859823281576962e-03,1.413247477423768999e+02,2.170414451997738567e-02
2.732397077091078003e-03,3.095216449116685098e+01,5.754562925640573047e-04
2.548242659109067280e-03,2.275267027067207550e+02,8.694708338221309243e-03
2.376499632555712036e-03,1.905713902196663057e+01,7.985559728217227551e-03
2.216331511188199179e-03,1.691445450447633050e+02,2.626096031796000367e-03
2.066958185136859218e-03,7.142118436259426062e+02,4.029343207010542723e-03
1.927652121326299236e-03,1.070660967860052750e+02,9.431747230044340222e-03
1.797734819975445450e-03,3.121752463254625809e+02,1.691008575159171079e-02
1.676573509917603146e-03,2.027224084087264657e+02,1.137121309585871834e-02
1.563578066644904152e-03,7.869524695581780804e+01,2.134444714860401354e-02
1.458198138066231584e-03,1.032171305302404392e+02,1.463512469517289256e-02
1.359920463979447233e-03,2.238577898218268203e+01,8.652884360609501904e-03
1.268266376202214010e-03,1.673205231630138883e+02,2.531310427801160539e-03
1.182789467185637678e-03,2.144001334699360086e+02,2.203154500429183038e-04
1.103073415755546080e-03,6.072884722827034665e+01,2.045392769480040493e-03
1.028729959391527738e-03,4.040853522856592690e+02,5.995165614663355153e-03
9.593970031675777077e-04,4.668086680069412608e+01,6.234500401749039009e-03
8.947368561438141885e-04,1.674357321655451258e+01,3.963969658051118283e-03
8.344345866194912646e-04,5.601342995460484531e+01,7.169335291968950523e-03
7.781964882364535326e-04,1.203003037873584162e+03,2.131871526714302842e-03
7.257486494620849328e-04,4.409740698064452147e+01,5.944557096590633548e-03
6.768356194843164718e-04,6.492502114319765383e+01,7.431559168559917668e-03
6.312191640208509669e-04,8.527777060171719370e+01,1.443519962842522170e-03
5.886771049826737198e-04,1.100231215589226679e+02,3.259822926816343617e-03
5.490022383403661468e-04,7.238781316978135010e+02,6.044037666210449154e-03
5.120013249226047650e-04,4.794496634909828714e+01,8.019148375007859866e-04
4.774941492314641197e-04,1.477882408552040943e+02,1.039267595714392931e-03
4.453126416904191250e-04,3.420918809969985546e+02,2.531809236578057699e-04
4.153000600498929669e-04,1.630699457897194975e+02,4.566865482274720840e-03
3.873102259633324400e-04,4.572066160550761538e+01,4.127367587291437545e-03
3.612068130154999588e-04,1.306993441555795528e+02,2.249083152507872028e-03
3.368626827352766808e-04,1.444264544516878232e+03,4.748820763253267397e-04
3.141592653589793090e-04,7.714057658628044578e+01,3.595232694717945352e-04
