number_theta_steps,Appellian Root %,Appellian Value %
1.927652121326299236e-03,1.935576465213462421e-03,2.124194697744171412e-01
1.797734819975445450e-03,2.998909979975829341e-03,1.858389859320409565e-01
1.676573509917603146e-03,3.600029670489921646e-03,2.136190329792249654e-01
1.563578066644904152e-03,4.843662851202959127e-03,1.760606994979957984e-01
1.458198138066231584e-03,5.525797082428782377e-03,2.067822509179113866e-01
1.359920463979447233e-03,6.809448800189593469e-03,1.735713381245181930e-01
1.268266376202214010e-03,6.328667591459968302e-03,1.734938427260873106e-01
1.182789467185637678e-03,7.147238352719892558e-03,1.561768130097514751e-01
1.103073415755546080e-03,7.087869086794783280e-03,1.419309469619739750e-01
1.028729959391527738e-03,6.555835446593238393e-03,1.276969965345775559e-01
9.593970031675777077e-04,5.035241460550445199e-03,9.603229796337572899e-02
8.947368561438141885e-04,4.262856293164756123e-03,7.858364700557433913e-02
8.344345866194912646e-04,4.057761147261190228e-03,7.028236133702832344e-02
7.781964882364535326e-04,3.525236126676586489e-03,4.257955233345332019e-02
7.257486494620849328e-04,2.790495119709401287e-03,3.425272252385994781e-02
6.768356194843164718e-04,2.095921394016524424e-03,6.890895936304528881e-03
6.312191640208509669e-04,1.303514354233611386e-03,4.691027279785707146e-03
5.886771049826737198e-04,1.971027628770021922e-03,8.275338456861711794e-03
5.490022383403661468e-04,9.389380260676856091e-04,4.124869922004411812e-03
5.120013249226047650e-04,1.416249650542516624e-03,1.369660861818167846e-02
4.774941492314641197e-04,2.300753689405841875e-04,1.230724651917146362e-02
4.453126416904191250e-04,8.831726218824771484e-04,1.231049065766815810e-02
4.153000600498929669e-04,6.015449634246262088e-05,1.526149228447614900e-02
3.873102259633324400e-04,1.639066225287343038e-03,4.511515595008053041e-03
3.612068130154999588e-04,1.466147149427396565e-03,8.476741495033898732e-03
3.368626827352766808e-04,1.401498018347836425e-03,5.023400485572889970e-03
3.141592653589793090e-04,1.391524850646533730e-04,2.548367415472462590e-03
