number_theta_steps,Appellian Root %,Appellian Value %
3.368626827352767025e-03,4.265499441185818114e-02,1.640216686103020821e-02
3.141592653589793307e-03,3.960810369860486013e-02,1.001693080695960011e-02
2.929859823281576962e-03,3.704484899017879834e-02,2.070235126907002399e-02
2.732397077091078003e-03,3.443563415138513328e-02,1.495222769578481280e-03
2.548242659109067280e-03,3.206558764827332347e-02,9.560328525351094106e-03
2.376499632555712036e-03,3.010091104742399284e-02,8.797622529966011781e-03
2.216331511188199179e-03,2.808487355701792115e-02,3.374470557098437767e-03
2.066958185136859218e-03,2.611138052265522119e-02,3.316393124707678157e-03
1.927652121326299236e-03,2.448361517077545998e-02,8.774545836472472798e-03
1.797734819975445450e-03,2.273886985960862916e-02,1.751383431035170510e-02
1.676573509917603146e-03,2.130418356228696089e-02,1.079606595200765032e-02
1.563578066644904152e-03,1.967295917506097988e-02,2.186400198113583326e-02
1.458198138066231584e-03,1.871172862333590758e-02,1.412642458318378799e-02
1.359920463979447233e-03,1.728525717195565983e-02,9.120019331634626053e-03
1.268266376202214010e-03,1.608436592248515401e-02,2.102657094650227723e-03
1.182789467185637678e-03,1.485708637067198815e-02,6.322824852857005830e-04
1.103073415755546080e-03,1.409131169238133502e-02,1.675905394918640210e-03
1.028729959391527738e-03,1.312770629228383716e-02,5.645125859504157920e-03
9.593970031675777077e-04,1.227823045409871978e-02,6.558701690106362794e-03
8.947368561438141885e-04,1.129513816473452781e-02,4.274636564088349008e-03
8.344345866194912646e-04,1.068088387532253360e-02,6.890530470281069041e-03
7.781964882364535326e-04,9.984893982516418812e-03,2.400153045660280166e-03
7.257486494620849328e-04,9.166628695176697039e-03,5.695641448736644616e-03
6.768356194843164718e-04,8.591854074404263464e-03,7.665159554315695289e-03
6.312191640208509669e-04,8.060000372002345051e-03,1.230335410031270808e-03
5.886771049826737198e-04,7.453277313295621556e-03,3.457691676327924370e-03
5.490022383403661468e-04,7.036586549717597019e-03,5.849293318540861424e-03
5.120013249226047650e-04,6.561400752007520709e-03,9.748772781425621209e-04
4.774941492314641197e-04,6.118002814805206802e-03,8.788516420437726857e-04
4.453126416904191250e-04,5.627172049811262483e-03,9.669464971493253638e-05
4.153000600498929669e-04,5.280596594257342367e-03,4.703258355136229543e-03
3.873102259633324400e-04,4.934166258935107109e-03,3.993139763249522328e-03
3.612068130154999588e-04,4.625236622664547978e-03,2.367824995890191204e-03
3.368626827352766808e-04,4.209617524482497063e-03,5.974967089018398854e-04
3.141592653589793090e-04,4.054709894159795776e-03,2.651960608237085779e-04
